"name","address","tel"
"新店中正閱覽室","新店區中正路275巷17-1號","02-2912-2562"
"新店大鵬圖書閱覽室","新店區中正路700巷26號2樓","02-8218-2946"
"新店文史館","新店區北新路一段92號1樓","02-2911-5534"
"新店北新圖書閱覽室","新店區北新路一段92號2樓","02-2915-1171"
"新店仁愛圖書閱覽室","新店區建國路58號2樓","02-2914-4854"
"新店龜山圖書閱覽室","新店區新烏路3段136號1樓","02-2666-5934"
"新店寶興圖書閱覽室","新店區寶中路65巷59號3樓","02-2910-8540"
"新北市青少年圖書館","新店區安康路2段151號","02-2212-8905"
"新店柴埕圖書閱覽室","新店區安民街79號3樓","02-2212-7938"
"新店碧潭圖書閱覽室","新店區新店路207號4樓","02-2914-2371"
"新店三民圖書閱覽室","新店區三民路20-2號2樓","02-2910-8542"
"新店中央圖書閱覽室","新店區中央五街60號2樓","02-2219-7301"
"新店福民圖書閱覽室","新店區福園街8-1號3樓","02-8911-7160"
"新莊分館","新莊區中華路一段2號5~6樓","02-8992-9009"
"新莊中港分館","新莊區中港路350號1、5-8樓","02-2991-2053"
"新莊福營分館","新莊區四維路9號3~5樓","02-2203-7877"
"新莊聯合分館","新莊區自由街1號3-5樓","02-8992-4732"
"新莊西盛分館","新莊區西盛街216號","02-2203-5574"
"新莊裕民分館","新莊區裕民街136號4~5樓","02-2901-9047"
"新莊頭前智慧圖書館","新莊區中原路2號(頭前國中樂活館3樓)","02-2953-7868轉8403"
"樹林分館","樹林區樹新路40-7號3-4樓","02-2684-6283"
"樹林東昇分館","樹林區中山路二段80號3樓","02-2675-7321"
"樹林大安圖書閱覽室","樹林區大安路118-1號","02-2682-4084"
"樹林彭厝圖書閱覽室","樹林區國凱街65號3樓","02-8684-9298"
"樹林三多圖書閱覽室","樹林區福興街17號2樓","02-2676-1737"
"樹林樂山圖書閱覽室","樹林區中和街38號","02-2680-7120"
"樹林柑園圖書閱覽室","樹林區佳園路3段128號2樓","02-2680-2354"
"蘆洲仁愛智慧圖書館","蘆洲區民權路143號2樓","02-2847-9964 0919-562-074"
"蘆洲永平分館","蘆洲區永平街1號3樓","02-2847-9964"
"蘆洲永安圖書閱覽室","蘆洲區永安南路二段134號2樓","02-2285-1238"
"蘆洲長安分館","蘆洲區長安街96號3樓","02-2847-5873"
"蘆洲集賢分館","蘆洲區集賢路245號4樓","02-8283-1792"
"蘆洲兒童親子分館","蘆洲區集賢路221巷11號2~3 樓","02-2288-8294"
"鶯歌分館","鶯歌區中山路150號","02-2678-0219"
"鶯歌二甲圖書閱覽室","鶯歌區二甲路36-2號","02-2679-8790"
"瑞芳分館","瑞芳區民權街17號2樓","02-2497-2980"
"瑞芳東和圖書閱覽室","瑞芳區中山路20號3樓","02-2496-6401"
"貢寮分館","貢寮區仁愛路79號3樓","02-2490-3203"
"平溪分館","平溪區公園街17號3樓","02-2495-2422"
"雙溪分館","雙溪區太平路50號3樓","02-2493-3768"
"深坑分館","深坑區深坑街10號1樓","02-2662-3821轉239"
"石碇分館","石碇區碇坪路1段65號","02-2663-1354"
"坪林分館","坪林區國中路3號","02-2665-7499"
"萬里分館","萬里區瑪鋉路221號4樓","02-2492-4490"
"石門分館","石門區尖鹿里中央路9-3號","02-2638-1202"
"金山分館","金山區五湖里龜子山8號","02-2498-4714"
"三芝分館","三芝區淡金路1段37號","02-2636-2331"
"烏來區立圖書館","烏來區烏來里環山路82巷98號4樓","02-2661-8031"
